source,type,year,var_short,value,iso3,var_long,residence,san_service_chain
MICS,Survey,2003,s_imp_u,44.2,AFG,Improved,urban,user interface
NRVS,Survey with microdata,2005,s_imp_u,62.277633324992,AFG,Improved,urban,user interface
NVRA,Survey with microdata,2008,s_imp_u,58.3,AFG,Improved,urban,user interface
MICS,Survey with microdata,2011,s_imp_u,70.9,AFG,Improved,urban,user interface
NVRA,Survey with microdata,2012,s_imp_u,62,AFG,Improved,urban,user interface
ALCS,Survey with microdata,2014,s_imp_u,76.6,AFG,Improved,urban,user interface
DHS,Survey with microdata,2015,s_imp_u,83.60000000000001,AFG,Improved,urban,user interface
ALCS,Survey with microdata,2017,s_imp_u,83.26,AFG,Improved,urban,user interface
IELFS,Survey with microdata,2020,s_imp_u,83.48371999999999,AFG,Improved,urban,user interface
MICS,Survey,2003,s_sew_u,8.2,AFG,Sewer,urban,user interface
MICS,Survey with microdata,2011,s_sew_u,4.5,AFG,Sewer,urban,user interface
ALCS,Survey with microdata,2014,s_sew_u,13.4,AFG,Sewer,urban,user interface
DHS,Survey with microdata,2015,s_sew_u,9.9,AFG,Sewer,urban,user interface
ALCS,Survey with microdata,2017,s_sew_u,4.53,AFG,Sewer,urban,user interface
IELFS,Survey with microdata,2020,s_sew_u,9.97665,AFG,Sewer,urban,user interface
MICS,Survey with microdata,2011,s_sep_u,22.8,AFG,Septic,urban,user interface
ALCS,Survey with microdata,2014,s_sep_u,21.7,AFG,Septic,urban,user interface
DHS,Survey with microdata,2015,s_sep_u,34.9,AFG,Septic,urban,user interface
ALCS,Survey with microdata,2017,s_sep_u,33.71,AFG,Septic,urban,user interface
IELFS,Survey with microdata,2020,s_sep_u,22.59006,AFG,Septic,urban,user interface
MICS,Survey,2003,s_lat_u,36,AFG,Latrines and other improved,urban,user interface
MS,Survey with microdata,2010,s_lat_u,53.9,AFG,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2011,s_lat_u,43.60000000000001,AFG,Latrines and other improved,urban,user interface
ALCS,Survey with microdata,2014,s_lat_u,41.49999999999999,AFG,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2015,s_lat_u,38.80000000000001,AFG,Latrines and other improved,urban,user interface
ALCS,Survey with microdata,2017,s_lat_u,45.02,AFG,Latrines and other improved,urban,user interface
IELFS,Survey with microdata,2020,s_lat_u,50.91700999999999,AFG,Latrines and other improved,urban,user interface
MICS,Survey,2003,s_od_u,12.8,AFG,Open defecation,urban,open defecation
NRVS,Survey with microdata,2005,s_od_u,0.1832139882376,AFG,Open defecation,urban,open defecation
NVRA,Survey with microdata,2008,s_od_u,0.5,AFG,Open defecation,urban,open defecation
MICS,Survey with microdata,2011,s_od_u,0.6,AFG,Open defecation,urban,open defecation
ALCS,Survey with microdata,2014,s_od_u,0.7,AFG,Open defecation,urban,open defecation
DHS,Survey with microdata,2015,s_od_u,1.4,AFG,Open defecation,urban,open defecation
ALCS,Survey with microdata,2017,s_od_u,0.53,AFG,Open defecation,urban,open defecation
IELFS,Survey with microdata,2020,s_od_u,0.24861,AFG,Open defecation,urban,open defecation
NVRA,Survey with microdata,2008,s_shared_u,35.699999999999996,AFG,Shared,urban,sharing
MICS,Survey with microdata,2011,s_shared_u,15.371000000000002,AFG,Shared,urban,sharing
NVRA,Survey with microdata,2012,s_shared_u,37.5,AFG,Shared,urban,sharing
ALCS,Survey with microdata,2014,s_shared_u,33.6,AFG,Shared,urban,sharing
DHS,Survey with microdata,2015,s_shared_u,13.636363636363631,AFG,Shared,urban,sharing
ALCS,Survey with microdata,2017,s_shared_u,32,AFG,Shared,urban,sharing
MICS,Survey,2003,s_imp_r,26,AFG,Improved,rural,user interface
NRVA,Survey with microdata,2003,s_imp_r,28.558654833928102,AFG,Improved,rural,user interface
NRVS,Survey with microdata,2005,s_imp_r,31.1753431216186,AFG,Improved,rural,user interface
NVRA,Survey with microdata,2008,s_imp_r,30.1,AFG,Improved,rural,user interface
MICS,Survey with microdata,2011,s_imp_r,44.2,AFG,Improved,rural,user interface
NVRA,Survey with microdata,2012,s_imp_r,36.349999999999994,AFG,Improved,rural,user interface
ALCS,Survey with microdata,2014,s_imp_r,26.999999999999996,AFG,Improved,rural,user interface
DHS,Survey with microdata,2015,s_imp_r,48.05,AFG,Improved,rural,user interface
ALCS,Survey with microdata,2017,s_imp_r,43.79,AFG,Improved,rural,user interface
IELFS,Survey with microdata,2020,s_imp_r,61.93845999999999,AFG,Improved,rural,user interface
MICS,Survey,2003,s_sew_r,0.4,AFG,Sewer,rural,user interface
MICS,Survey with microdata,2011,s_sew_r,2.2,AFG,Sewer,rural,user interface
ALCS,Survey with microdata,2014,s_sew_r,0.4,AFG,Sewer,rural,user interface
DHS,Survey with microdata,2015,s_sew_r,0.3,AFG,Sewer,rural,user interface
ALCS,Survey with microdata,2017,s_sew_r,0.58,AFG,Sewer,rural,user interface
IELFS,Survey with microdata,2020,s_sew_r,1.69396,AFG,Sewer,rural,user interface
MICS,Survey with microdata,2011,s_sep_r,1,AFG,Septic,rural,user interface
ALCS,Survey with microdata,2014,s_sep_r,1,AFG,Septic,rural,user interface
DHS,Survey with microdata,2015,s_sep_r,3,AFG,Septic,rural,user interface
ALCS,Survey with microdata,2017,s_sep_r,1.02,AFG,Septic,rural,user interface
IELFS,Survey with microdata,2020,s_sep_r,1.86152,AFG,Septic,rural,user interface
MICS,Survey,2003,s_lat_r,25.6,AFG,Latrines and other improved,rural,user interface
MS,Survey with microdata,2010,s_lat_r,28.1,AFG,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2011,s_lat_r,41,AFG,Latrines and other improved,rural,user interface
ALCS,Survey with microdata,2014,s_lat_r,25.6,AFG,Latrines and other improved,rural,user interface
DHS,Survey with microdata,2015,s_lat_r,44.75,AFG,Latrines and other improved,rural,user interface
ALCS,Survey with microdata,2017,s_lat_r,42.19,AFG,Latrines and other improved,rural,user interface
IELFS,Survey with microdata,2020,s_lat_r,58.38297999999999,AFG,Latrines and other improved,rural,user interface
MICS,Survey,2003,s_od_r,39.2,AFG,Open defecation,rural,open defecation
NRVA,Survey with microdata,2003,s_od_r,30.620056136769584,AFG,Open defecation,rural,open defecation
NRVS,Survey with microdata,2005,s_od_r,14.71720862785,AFG,Open defecation,rural,open defecation
NVRA,Survey with microdata,2008,s_od_r,25.6,AFG,Open defecation,rural,open defecation
MICS,Survey with microdata,2011,s_od_r,21.3,AFG,Open defecation,rural,open defecation
ALCS,Survey with microdata,2014,s_od_r,24.8,AFG,Open defecation,rural,open defecation
DHS,Survey with microdata,2015,s_od_r,16.1,AFG,Open defecation,rural,open defecation
ALCS,Survey with microdata,2017,s_od_r,17.73,AFG,Open defecation,rural,open defecation
IELFS,Survey with microdata,2020,s_od_r,14.92387,AFG,Open defecation,rural,open defecation
NVRA,Survey with microdata,2008,s_shared_r,16.7,AFG,Shared,rural,sharing
MICS,Survey with microdata,2011,s_shared_r,6.349,AFG,Shared,rural,sharing
NVRA,Survey with microdata,2012,s_shared_r,17,AFG,Shared,rural,sharing
ALCS,Survey with microdata,2014,s_shared_r,19.5,AFG,Shared,rural,sharing
DHS,Survey with microdata,2015,s_shared_r,8.388941849380362,AFG,Shared,rural,sharing
ALCS,Survey with microdata,2017,s_shared_r,15.7,AFG,Shared,rural,sharing
ES,Admin,2014,s_treat_wtp_n,47.368421052631575,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2015,s_treat_wtp_n,42.10526315789473,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2016,s_treat_wtp_n,43.75,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2017,s_treat_wtp_n,42.06303724928367,ALB,Treated at wastewater treatment plant,national,WW treatment
MICS,Survey with microdata,2000,s_imp_u,98.5,ALB,Improved,urban,user interface
CEN,Census,2001,s_imp_u,98.36009360373455,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2002,s_imp_u,99.28258965377806,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2003,s_imp_u,99.26659183673468,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2005,s_imp_u,99.28906982947196,ALB,Improved,urban,user interface
MICS,Survey with microdata,2006,s_imp_u,99.4,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2008,s_imp_u,99.58581273200888,ALB,Improved,urban,user interface
DHS,Survey with microdata,2009,s_imp_u,99.2,ALB,Improved,urban,user interface
CEN,Census,2011,s_imp_u,99.7,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2012,s_imp_u,99.97894787958396,ALB,Improved,urban,user interface
DHS,Survey with microdata,2018,s_imp_u,98.96908,ALB,Improved,urban,user interface
MICS,Survey with microdata,2000,s_sew_u,94.8,ALB,Sewer,urban,user interface
CEN,Census,2001,s_sew_u,92.389385870959,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2002,s_sew_u,96.35401822520664,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2003,s_sew_u,96.497,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2005,s_sew_u,97.05573649613864,ALB,Sewer,urban,user interface
MICS,Survey with microdata,2006,s_sew_u,97.2,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2008,s_sew_u,98.54359050978664,ALB,Sewer,urban,user interface
CEN,Census,2011,s_sew_u,98,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2012,s_sew_u,98.21228121291728,ALB,Sewer,urban,user interface
DHS,Survey with microdata,2018,s_sew_u,91.08973,ALB,Sewer,urban,user interface
MICS,Survey with microdata,2006,s_sep_u,1.6,ALB,Septic,urban,user interface
DHS,Survey with microdata,2009,s_sep_u,4.4,ALB,Septic,urban,user interface
DHS,Survey with microdata,2018,s_sep_u,1.44394,ALB,Septic,urban,user interface
MICS,Survey with microdata,2000,s_lat_u,3.700000000000003,ALB,Latrines and other improved,urban,user interface
CEN,Census,2001,s_lat_u,5.9707077327755655,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2002,s_lat_u,2.9285714285714306,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2003,s_lat_u,2.7695918367346906,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2005,s_lat_u,2.2333333333333343,ALB,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2006,s_lat_u,0.5999999999999943,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2008,s_lat_u,1.0422222222222215,ALB,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2009,s_lat_u,5.299999999999997,ALB,Latrines and other improved,urban,user interface
CEN,Census,2011,s_lat_u,1.7000000000000028,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2012,s_lat_u,1.7666666666666655,ALB,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2018,s_lat_u,6.43540999999999,ALB,Latrines and other improved,urban,user interface
CEN,Census,2001,s_od_u,0.474890253284859,ALB,Open defecation,urban,open defecation
DHS,Survey with microdata,2009,s_od_u,0,ALB,Open defecation,urban,open defecation
CEN,Census,2011,s_od_u,0.299,ALB,Open defecation,urban,open defecation
DHS,Survey with microdata,2018,s_od_u,0.01918,ALB,Open defecation,urban,open defecation
MICS,Survey with microdata,2006,s_shared_u,1.710261569416499,ALB,Shared,urban,sharing
DHS,Survey with microdata,2009,s_shared_u,1.7137096774193616,ALB,Shared,urban,sharing
